1981-2010 Mean,Mean DBO 1,Sample SD DBO 1,Mean DBO 2,Sample SD DBO 2,Mean DBO 3,Sample SD DBO 3,Mean DBO 4,Sample SD DBO 4,Mean DBO 5,Sample SD DBO 5,Mean DBO6,Sample SD DBO 6,Mean DBO 7,Sample SD DBO 7,Mean DBO 8 ,Sample SD DBO 8 
28-Mar,95.57841,2.397754,96.81756,0.420578,98.76546,0.490156,99.24827,0.284289,98.69208,0.484951,99.46105,0.198106,99.42767,0.222006,98.88074,0.427702
29-Mar,96.03159,1.797211,96.994,0.358794,99.01581,0.46671,99.28693,0.369732,98.69792,0.723343,99.38053,0.304194,99.42683,0.328863,98.92685,0.432186
30-Mar,96.07097,1.612764,97.07933,0.464962,99.15298,0.468795,99.29347,0.28772,98.81834,0.424604,99.43825,0.369668,99.455,0.402147,98.82722,0.447339
31-Mar,96.17523,1.835319,97.28222,0.49415,99.32328,0.411358,99.26107,0.371883,98.61792,0.532206,99.38842,0.31828,99.46783,0.314657,99.19611,0.31931
1-Apr,95.92097,2.180371,96.95156,0.835036,99.34934,0.358781,99.16987,0.373505,98.65708,0.436172,99.05175,0.257937,99.32917,0.299995,99.33667,0.415595
2-Apr,95.83769,2.376453,96.94889,0.754509,99.35394,0.373781,99.17307,0.305239,98.40625,0.611445,98.96368,0.386965,99.21217,0.350659,99.18278,0.27452
3-Apr,95.95251,2.548589,97.25533,0.847485,99.41551,0.327765,99.24933,0.189416,98.52083,0.362679,99.11421,0.322403,99.142,0.390828,98.56667,0.516578
4-Apr,95.74421,2.233776,97.35222,0.807906,99.39273,0.293263,99.248,0.351931,98.33833,0.541744,99.1879,0.321929,99.17184,0.269314,98.36648,0.619856
5-Apr,95.56698,2.363084,96.91489,1.341674,99.20248,0.3167,99.2768,0.297853,98.4825,0.571878,99.23877,0.237355,99.21033,0.331615,98.30167,0.583925
6-Apr,95.34246,2.486193,96.16711,1.543962,99.09278,0.43831,99.134,0.344919,98.64542,0.463189,99.27596,0.275205,99.20183,0.295721,98.37278,0.60188
7-Apr,94.98026,2.615042,95.60911,1.43018,98.91101,0.543151,98.99747,0.318498,98.45542,0.416818,99.21719,0.221089,99.275,0.232302,98.44852,0.537678
8-Apr,95.09605,2.628372,94.82978,1.41035,98.84344,0.358202,98.83013,0.34248,98.555,0.449006,99.19333,0.326416,99.26833,0.323023,98.49741,0.545641
9-Apr,95.24174,2.614953,94.72533,1.620303,99.06343,0.42824,98.89533,0.220839,98.97958,0.294272,99.28825,0.31128,99.19917,0.255069,98.47407,0.476305
10-Apr,94.85446,2.864056,94.91111,1.804718,98.99778,0.415923,98.7228,0.245777,98.81167,0.502341,99.22035,0.342126,99.4115,0.214013,98.65667,0.461204
